filename,apple_ripe,apple_rotten,apple_unripe
1434_jpg.rf.dfc15113e8861b9a5cb287fac11d1523.jpg,1,1,0
1429_jpg.rf.99fb98bfddb74925475363275131eb11.jpg,0,1,0
Bing_0023_jpg.rf.b16a4140822a68741eb7d87a1614ab8d.jpg,0,0,1
busuk2_jpg.rf.edd6445bc28f198bc85b358311fe5e5d.jpg,0,1,0
AQADHsAxG8Y3uUt9_jpg.rf.b2d83a816ae59677127d79cb79016123.jpg,0,1,0
181_jpg.rf.27c26856cb7276523a6c93c4a3b58637.jpg,1,1,0
image39_jpeg.rf.16035b3f060fb9e06a21337d4a97df86.jpg,0,1,1
178_jpg.rf.81cd7bb50e131d2cf56562d6ca292527.jpg,0,1,0
172_jpg.rf.fcd5145c28e96819e53b5082f1429304.jpg,0,1,0
Bing_0303_jpeg.rf.d47ac01bab4f5f74cd70eb0e32dc3fb0.jpg,1,1,1
175_jpg.rf.72acd3330149c4294ec5275592bde523.jpg,0,1,0
01-00-00105_JPG.rf.0f56b3ee0a1c4f2a12a82bab156ef564.jpg,0,0,1
image8_jpeg.rf.ad37a3e228333ccddfe2dc2256bd23cd.jpg,0,1,1
182_jpg.rf.1877d1cd32498dcf79201602ea9d72c4.jpg,1,1,0
179_jpg.rf.70b6c054a00d387681b33ac0fcf85885.jpg,0,1,0
180_jpg.rf.51faef1232f821080b1c7c86af24a322.jpg,0,1,0
Bing_0252_jpeg.rf.409a4eb761f102c696df3a5a1756c4a4.jpg,0,1,1
Bing_0287_jpeg.rf.504f208873c14bfe434facacb1ce7f6f.jpg,0,0,1
167_jpg.rf.bd2d19cf7f8e58547d618f9c0425803e.jpg,0,1,0
174_jpg.rf.58d3e449f32650630ac580b35a4964ac.jpg,0,1,0
Apple-De05081_png.rf.098367603a5f502412bf07642c957684.jpg,0,0,1
Bing_0235_jpg.rf.e52f80f18d35c377ddd920a9af0246b7.jpg,0,1,0
1428_jpg.rf.b12082993580b2122b57982239330485.jpg,0,1,0
Bing_0315_jpeg.rf.ad2f4b92d50eef53efd0ef0b828d9904.jpg,1,1,1
Bing_0147_jpg.rf.b7f22374dbd9987f0066778d143da8e4.jpg,1,0,1
169_jpg.rf.4744c72e48ab784599c63e9776261730.jpg,0,1,0
166_jpg.rf.fb50aeb9c19c544ba14d2b55744f10f0.jpg,0,1,0
Bing_0190_jpeg.rf.71fc42178bb6a29888c4f1121bcd9621.jpg,0,0,1
1425_jpg.rf.49885b566385fe4ba8065ce76a8fab1e.jpg,0,1,0
171_jpg.rf.d334ba8d8adcaf3ab85cfc1576ae4402.jpg,1,1,0
